city,country_code,continent,state,latitude,longitude,avg_temp_jan_c,avg_temp_jul_c,annual_rainfall_mm,population
London,GB,Europe,England,51.485,-0.09,5.0,17.4,781.0,11262000.0
Paris,FR,Europe,Île-de-France,48.855,2.345,5.8,20.3,949.0,11060000.0
Rome,IT,Europe,Lazio,41.89,12.485,8.2,27.7,925.0,2748109.0
Barcelona,ES,Europe,Catalonia,41.395,2.14,8.0,25.3,479.0,4800000.0
Amsterdam,NL,Europe,North Holland,52.38,4.875,5.6,17.7,1242.0,1477213.0
Prague,CZ,Europe,Prague,50.07,14.425,3.4,22.1,771.0,1384732.0
Vienna,AT,Europe,Vienna,48.22,16.35,3.3,23.2,768.0,2223236.0
Berlin,DE,Europe,Berlin,52.505,13.39,4.2,20.4,839.0,4679500.0
Istanbul,TR,Europe,Istanbul,41.04,28.99,8.5,25.5,889.0,14441000.0
Lisbon,PT,Europe,Lisbon,38.745,-9.16,11.1,21.4,503.0,548703.0
Madrid,ES,Europe,Madrid,40.43,-3.705,4.7,27.3,550.0,6211000.0
Athens,GR,Europe,Attica,37.975,23.74,10.4,30.3,561.0,3059764.0
Dublin,IE,Europe,Leinster,53.345,-6.25,6.6,15.5,1089.0,592713.0
Budapest,HU,Europe,Budapest,47.495,19.075,3.7,23.5,953.0,1686222.0
Edinburgh,GB,Europe,Scotland,55.94,-3.2,4.9,14.7,1133.0,488050.0
Florence,IT,Europe,Tuscany,43.77,11.25,7.1,26.3,1059.0,360930.0
Munich,DE,Europe,Bavaria,48.14,11.565,2.5,20.0,1148.0,2606021.0
Copenhagen,DK,Europe,Capital Region,55.68,12.55,4.0,17.0,829.0,1366301.0
Stockholm,SE,Europe,Stockholm,59.34,18.05,0.3,16.8,772.0,995574.0
Milan,IT,Europe,Lombardy,45.46,9.19,4.7,24.4,1309.0,1354196.0
Porto,PT,Europe,Porto,41.155,-8.625,10.1,19.3,1443.0,231800.0
Seville,ES,Europe,Andalusia,37.375,-5.96,10.4,29.8,364.0,
Tokyo,JP,Asia,Tokyo,35.685,139.725,4.0,28.4,1369.0,37785000.0
Bangkok,TH,Asia,Bangkok,13.775,100.55,25.7,28.5,1886.0,18007000.0
Singapore,SG,Asia,Singapore,1.345,103.8,25.4,26.8,3401.0,5983000.0
Hong Kong,HK,Asia,Hong Kong,22.355,114.09,14.2,27.4,2028.0,7450000.0
Seoul,KR,Asia,Seoul,37.56,126.975,-3.5,25.1,1632.0,23016000.0
Kuala Lumpur,MY,Asia,KL,3.125,101.69,25.9,27.3,3172.0,8911000.0
Bali,ID,Asia,Bali,-8.455,115.07,24.7,23.0,2007.0,
Delhi,IN,Asia,Delhi,28.64,77.095,11.7,29.2,826.0,32226000.0
Mumbai,IN,Asia,Maharashtra,19.08,72.875,22.6,26.4,2048.0,24973000.0
Kyoto,JP,Asia,Kyoto,35.005,135.76,3.1,26.6,1530.0,
Shanghai,CN,Asia,Shanghai,31.2,121.5,5.2,28.5,1418.0,24073000.0
Beijing,CN,Asia,Beijing,39.885,116.375,-2.9,28.3,641.0,18522000.0
Hanoi,VN,Asia,Hanoi,21.03,105.815,16.5,30.2,1706.0,8587100.0
Taipei,TW,Asia,Taipei,25.035,121.53,15.8,29.1,1306.0,2494813.0
Chiang Mai,TH,Asia,Chiang Mai,18.78,98.98,21.8,27.4,2065.0,1198000.0
Dubai,AE,Asia,Dubai,25.2,55.25,19.4,35.5,83.0,3331420.0
Amman,JO,Asia,Amman,31.945,35.915,9.2,27.5,308.0,4007526.0
New York,US,North America,NY,40.705,-73.98,4.9,24.5,1450.0,18832416.0
Los Angeles,US,North America,CA,34.02,-118.41,10.9,20.2,804.0,11885717.0
San Francisco,US,North America,CA,37.765,-122.435,10.2,15.4,882.0,3364862.0
Miami,US,North America,FL,25.78,-80.215,21.5,28.5,1945.0,6113982.0
Mexico City,MX,North America,CDMX,19.39,-99.15,13.4,17.5,526.0,21804000.0
Cancun,MX,North America,Q.Roo,21.125,-86.81,24.6,28.9,1234.0,
Toronto,CA,North America,ON,43.72,-79.38,-0.8,21.7,996.0,5647656.0
Vancouver,CA,North America,BC,49.26,-123.145,4.7,19.1,1528.0,2426160.0
Buenos Aires,AR,South America,CABA,-34.615,-58.43,25.5,11.8,916.0,16710000.0
Rio de Janeiro,BR,South America,RJ,-22.965,-43.325,25.2,20.4,1177.0,12592000.0
Lima,PE,South America,Lima,-12.1,-77.025,21.0,18.7,72.0,10320000.0
Bogota,CO,South America,Bogota,4.66,-74.1,11.8,12.9,761.0,9110.0
Cusco,PE,South America,Cusco,-13.52,-71.97,11.1,11.5,1249.0,428450.0
Havana,CU,North America,Havana,23.125,-82.39,23.0,29.4,756.0,2089532.0
Cape Town,ZA,Africa,W. Cape,-34.0,18.525,21.0,11.2,711.0,4770313.0
Cairo,EG,Africa,Cairo,30.04,31.285,15.4,32.0,28.0,20296000.0
Nairobi,KE,Africa,Nairobi,-1.275,36.81,19.1,17.4,682.0,5545000.0
Marrakech,MA,Africa,Marrakech,31.625,-8.0,11.5,29.9,194.0,966987.0
Johannesburg,ZA,Africa,Gauteng,-26.215,28.035,20.1,9.5,564.0,7860781.0
Sydney,AU,Oceania,NSW,-33.85,151.175,21.5,12.6,876.0,4840600.0
Melbourne,AU,Oceania,VIC,-37.805,144.97,20.2,10.4,778.0,5031195.0
Auckland,NZ,Oceania,Auckland,-36.88,174.775,19.8,12.2,1749.0,1470100.0
